phase,block,trial,sf,ori,label
train,3,119,5.0210,-29.1046,A
train,3,120,4.7897,10.2069,B
train,3,121,4.2236,-13.1896,B
train,3,122,4.9850,14.1875,B
train,3,123,4.4391,-1.0690,B
train,3,124,5.4134,-6.9760,A
train,3,125,5.0400,-35.8193,A
train,3,126,5.3688,26.9701,B
train,3,127,4.7587,5.4750,B
train,3,128,4.6722,-23.1528,A
train,3,129,5.4973,-7.0506,A
train,3,130,6.5684,12.2283,A
train,3,131,5.1320,-3.9081,A
train,3,132,5.6164,-13.5276,A
train,3,133,5.2325,2.2431,A
train,3,134,5.3795,-4.4519,A
train,3,135,4.2944,-4.0391,B
train,3,136,3.5606,-27.3614,B
train,3,137,5.0728,0.7818,A
train,3,138,5.4962,-19.5654,A
train,3,139,4.0810,-44.3481,A
train,3,140,6.0873,8.8063,A
train,3,141,4.8317,2.2855,B
train,3,142,6.1838,32.1095,B
train,3,143,4.0224,-27.1675,A
train,3,144,4.0918,-5.7136,B
train,3,145,4.9837,-12.4344,A
train,3,146,6.0725,27.8540,B
train,3,147,4.1088,-9.0789,B
train,3,148,3.9928,-17.6489,B
train,3,149,4.9589,27.0817,B
train,3,150,4.4059,-38.5426,A
train,4,151,5.0182,7.1534,B
train,4,152,6.3909,34.9297,B
train,4,153,4.7697,11.9840,B
train,4,154,6.2470,10.5744,A
train,4,155,4.4676,-2.7799,B
train,4,156,5.3618,29.7489,B
train,4,157,6.7926,23.2477,A
train,4,158,6.1503,25.2404,B
train,4,159,5.0546,-9.0335,A
train,4,160,5.0927,26.5934,B
train,4,161,5.3237,19.4021,B
train,4,162,5.0420,-20.5218,A
train,4,163,4.6911,-24.2684,A
train,4,164,5.4205,-0.6365,A
train,4,165,4.9521,-13.2755,A
train,4,166,6.2667,-2.6209,A
train,4,167,5.9215,4.7426,A
train,4,168,6.8177,13.8411,A
train,4,169,5.0217,-27.2351,A
train,4,170,4.8275,-11.5117,A
train,4,171,5.2394,16.8264,B
train,4,172,3.8575,-19.1819,B
train,4,173,5.4827,2.6891,A
train,4,174,6.0714,39.3889,B
train,4,175,6.2471,21.1819,A
train,4,176,5.1073,-29.7235,A
train,4,177,6.6794,23.2602,A
train,4,178,5.8339,39.7239,B
train,4,179,5.2722,25.1433,B
train,4,180,5.4956,-6.8741,A
train,4,181,5.3625,-9.4879,A
train,4,182,4.7408,-12.3112,A
train,4,183,4.6883,26.1990,B
train,4,184,5.8909,26.7498,B
train,4,185,4.3587,-38.2910,A
train,4,186,6.7037,22.0873,A
train,4,187,6.1669,-6.3151,A
train,4,188,3.6762,-1.0136,B
train,4,189,4.9578,9.7664,B
train,4,190,4.8025,-11.9603,A
train,4,191,5.0355,5.4112,B
train,4,192,4.8793,-14.8019,A
train,4,193,5.5056,22.7843,B
train,4,194,5.4803,13.3738,B
train,4,195,3.7006,-1.0830,B
train,4,196,5.4758,-4.7099,A
train,4,197,3.7728,-0.8284,B
train,4,198,4.3705,-5.5447,B
train,4,199,5.0154,12.0112,B
train,4,200,4.4327,12.8053,B
train,5,201,4.4249,7.9062,B
train,5,202,3.4796,-20.5382,B
train,5,203,4.1292,-6.6728,B
train,5,204,6.6826,25.0535,A
train,5,205,5.7508,4.8946,A
train,5,206,4.0129,1.7860,B
train,5,207,5.3206,29.0856,B
train,5,208,5.9783,4.6324,A
train,5,209,3.8732,9.4858,B
train,5,210,5.1690,17.7883,B
train,5,211,5.6470,9.3843,A
train,5,212,4.6226,12.7260,B
train,5,213,6.9772,5.4932,A
train,5,214,5.0871,5.0889,B
train,5,215,4.7267,-47.9387,A
train,5,216,3.8013,-6.0106,B
train,5,217,4.9490,-31.8074,A
train,5,218,5.4630,-1.9958,A
train,5,219,5.5544,17.4799,B
train,5,220,3.8416,-9.7912,B
train,5,221,4.9532,-9.5342,A
train,5,222,5.8315,18.2747,B
train,5,223,6.4031,-0.5635,A
train,5,224,5.4151,4.6519,A
train,5,225,4.8113,-38.1579,A
train,5,226,6.0775,1.8698,A
train,5,227,4.3003,-7.4566,B
train,5,228,3.9839,-6.1400,B
train,5,229,3.0470,-38.9678,B
train,5,230,5.0526,-4.1543,A
train,5,231,4.8166,-1.9835,B
train,5,232,4.8754,-15.0087,A
train,5,233,6.0344,12.2842,A
train,5,234,5.0207,24.1514,B
train,5,235,4.4646,-26.4028,A
train,5,236,3.0173,-14.3221,B
train,5,237,6.5226,-8.8436,A
train,5,238,5.0276,-4.3947,A
train,5,239,3.7582,0.1784,B
train,5,240,3.8853,-41.6237,A
train,5,241,4.7948,-22.6930,A
train,5,242,4.7645,16.9840,B
train,5,243,5.5954,-15.3837,A
train,5,244,3.7557,-20.7685,B
train,5,245,3.9260,-2.3858,B
train,5,246,5.1650,2.1123,A
train,5,247,6.1349,12.8920,A
train,5,248,5.3710,-3.0152,A
train,5,249,5.5529,16.7549,B
train,5,250,4.7679,7.9983,B
train,6,251,3.3443,-43.9190,A
train,6,252,4.3379,-1.1422,B
train,6,253,5.3416,-2.6836,A
train,6,254,5.2549,17.6721,B
train,6,255,4.2089,-9.5394,B
train,6,256,6.7296,0.2307,A
train,6,257,6.2119,14.9462,A
train,6,258,5.9113,14.0120,A
train,6,259,5.4578,3.8110,A
train,6,260,7.4009,22.7491,A
train,6,261,3.8128,3.6012,B
train,6,262,4.9597,-26.5406,A
train,6,263,4.7699,6.7776,B
train,6,264,5.2060,17.3860,B
train,6,265,3.9008,-8.0465,B
train,6,266,6.2912,28.4925,B
train,6,267,4.1280,-41.9925,A
train,6,268,5.9645,18.2754,A
train,6,269,3.7845,10.8943,B
train,6,270,5.3210,3.4974,A
train,6,271,4.7933,-14.0146,A
train,6,272,4.8621,-7.0657,A
train,6,273,5.7965,4.8169,A
train,6,274,4.2408,-3.3717,B
train,6,275,5.4558,-15.3781,A
train,6,276,6.3069,8.7186,A
train,6,277,2.7917,-20.5027,B
train,6,278,5.2445,-1.3550,A
train,6,279,3.2964,-24.5108,B
train,6,280,5.5491,-7.8654,A
train,6,281,4.6978,22.2043,B
train,6,282,3.6020,-24.1036,B
train,6,283,5.3763,-3.2491,A
train,6,284,3.7735,-18.2418,B
train,6,285,3.4774,-1.0986,B
train,6,286,4.4953,7.2171,B
train,6,287,4.2774,-7.4934,B
train,6,288,4.7814,10.6021,B
train,6,289,5.1152,-8.0359,A
train,6,290,4.2144,-0.2863,B
train,6,291,3.2577,-16.3630,B
train,6,292,5.7964,13.8056,A
train,6,293,4.9460,4.1338,B
train,6,294,4.5706,-2.3790,B
train,6,295,5.3780,24.7705,B
train,6,296,5.0054,-28.4148,A
train,6,297,7.6196,27.6579,A
train,6,298,4.8042,-33.4598,A
train,6,299,4.3347,33.7501,B
train,6,300,5.8959,1.4870,A
train,7,301,5.6369,12.5589,A
train,7,302,6.0018,34.4372,B
train,7,303,3.9909,27.4156,B
train,7,304,6.5152,-7.1237,A
train,7,305,4.1427,-7.8992,B
train,7,306,5.7131,-11.0101,A
train,7,307,4.4058,-10.4530,B
train,7,308,6.5806,8.7665,A
train,7,309,5.1089,-2.2947,A
train,7,310,5.1339,-1.0356,A
train,7,311,5.7546,39.1202,B
train,7,312,4.2349,-15.6548,A
train,7,313,5.1000,-3.2434,A
train,7,314,4.7160,-0.3788,B
train,7,315,5.3838,33.8941,B
train,7,316,4.0608,5.9225,B
train,7,317,3.2182,-10.1645,B
train,7,318,5.4006,23.6677,B
train,7,319,4.9529,-13.1917,A
train,7,320,6.3200,0.2320,A
train,7,321,4.5425,-2.1976,B
train,7,322,4.6219,27.5739,B
train,7,323,3.9909,-8.9237,B
train,7,324,5.9805,22.3634,B
train,7,325,4.5776,-12.2321,A
train,7,326,5.3927,-23.0414,A
train,7,327,5.2590,18.6588,B
train,7,328,4.9651,-26.8029,A
train,7,329,6.2627,39.7863,B
train,7,330,6.5575,22.3782,A
train,7,331,6.0742,19.9454,A
train,7,332,4.7666,-6.6026,A
train,7,333,6.2581,20.6612,A
train,7,334,3.9717,-9.7431,B
train,7,335,5.2239,-19.7842,A
train,7,336,4.4077,-28.0887,A
train,7,337,5.7608,7.3056,A
train,7,338,5.1915,38.2384,B
train,7,339,4.3697,5.4826,B
train,7,340,5.2095,35.2878,B
train,7,341,4.3525,-17.9813,A
train,7,342,4.6949,8.5695,B
train,7,343,3.9445,-0.9282,B
train,7,344,3.9710,-16.2460,B
train,7,345,4.0547,8.2506,B
train,7,346,5.9920,-8.2980,A
train,7,347,4.2290,-35.7262,A
train,7,348,4.4935,-7.8663,B
train,7,349,6.0701,-24.2991,A
train,7,350,5.8649,-3.3976,A
train,8,351,4.6210,-16.4778,A
train,8,352,3.9462,-43.9693,A
train,8,353,4.0835,-32.4591,A
train,8,354,5.5899,9.3941,A
train,8,355,5.7450,5.2658,A
train,8,356,3.7431,-0.3646,B
train,8,357,6.3135,41.0233,B
train,8,358,4.8093,5.1775,B
train,8,359,4.9543,6.9083,B
train,8,360,4.8569,-30.8645,A
train,8,361,4.3929,-30.0223,A
train,8,362,4.4545,-29.2760,A
train,8,363,3.6585,-14.0666,B
train,8,364,6.4219,6.9775,A
train,8,365,6.7122,33.5451,A
train,8,366,6.2203,18.2713,A
train,8,367,5.8440,7.0914,A
train,8,368,3.4286,-24.8157,B
train,8,369,4.9170,-6.7054,A
train,8,370,6.9503,12.2885,A
train,8,371,3.2976,-26.0105,B
train,8,372,4.6489,-1.6221,B
train,8,373,4.9519,-0.3931,B
train,8,374,4.2938,-0.1162,B
train,8,375,5.1980,-12.7464,A
train,8,376,6.7923,16.0250,A
train,8,377,5.3392,-4.4749,A
train,8,378,4.9868,28.9149,B
train,8,379,3.9324,-6.4400,B
train,8,380,4.5137,-6.7600,B
train,8,381,5.6371,-1.8829,A
train,8,382,6.1523,-15.5160,A
train,8,383,5.0419,11.3618,B
train,8,384,4.8273,8.7432,B
train,8,385,5.2142,-6.7183,A
train,8,386,3.1481,-21.1011,B
train,8,387,6.0904,24.8834,B
train,8,388,4.1832,8.0031,B
train,8,389,4.2886,-5.9570,B
train,8,390,4.3851,22.9368,B
train,8,391,5.5458,-15.1809,A
train,8,392,5.6949,10.0623,A
train,8,393,6.8872,13.9651,A
train,8,394,5.4618,-4.7943,A
train,8,395,5.7224,15.9147,B
train,8,396,4.1643,15.5770,B
train,8,397,5.5151,27.8488,B
train,8,398,4.5874,17.9156,B
train,8,399,6.0399,5.9126,A
train,8,400,4.8813,4.1601,B
gen,9,401,5.4960,22.6107,B
gen,9,402,4.8052,14.1548,B
gen,9,403,5.5978,15.9333,B
gen,9,404,4.8063,-29.0563,A
gen,9,405,4.6419,-25.9722,A
gen,9,406,4.8687,27.4248,B
gen,9,407,4.7988,2.6090,B
gen,9,408,4.3515,7.6087,B
gen,9,409,4.0415,-3.5590,B
gen,9,410,2.6367,-34.2819,B
gen,9,411,5.1514,11.4729,B
gen,9,412,5.0038,17.8556,B
gen,9,413,5.5160,-8.1122,A
gen,9,414,5.9602,-15.8175,A
gen,9,415,6.5699,6.8473,A
gen,9,416,2.8625,-60.0000,A
gen,9,417,4.5047,-45.7439,A
gen,9,418,5.7932,13.3775,A
gen,9,419,3.3803,1.5130,B
gen,9,420,4.6553,-12.7717,A
gen,9,421,5.0840,-12.2068,A
gen,9,422,5.2965,-0.1854,A
gen,9,423,4.6280,-13.7811,A
gen,9,424,3.5611,-11.5914,B
gen,9,425,3.8322,-35.1757,A
gen,9,426,5.7745,7.0513,A
gen,9,427,5.7893,26.7279,B
gen,9,428,5.1169,-21.3704,A
gen,9,429,5.1322,13.6160,B
gen,9,430,6.6251,8.7134,A
gen,9,431,5.1268,10.4160,B
gen,9,432,5.5210,12.4247,B
gen,9,433,5.0280,6.4546,B
gen,9,434,3.9804,-19.1799,B
gen,9,435,5.3631,-10.6623,A
gen,9,436,5.0315,9.1367,B
gen,9,437,5.5915,0.8406,A
gen,9,438,5.2230,-12.3828,A
gen,9,439,5.3919,19.0075,B
gen,9,440,5.0512,-28.8016,A
