phase,block,trial,sf,ori,label,catType
train,Train-2,65,4.37,6.57,B,II1
train,Train-2,66,4.84,-26.24,B,II1
train,Train-2,67,5.61,-16.61,B,II1
train,Train-2,68,5.09,-16.01,B,II1
train,Train-2,69,5.11,-19.51,B,II1
train,Train-2,70,4.65,17.70,A,II1
train,Train-2,71,4.02,9.70,B,II1
train,Train-2,72,5.98,-10.13,A,II1
train,Train-2,73,6.22,-7.88,A,II1
train,Train-2,74,5.58,-9.53,A,II1
train,Train-2,75,5.43,8.78,A,II1
train,Train-2,76,5.90,-12.62,A,II1
train,Train-2,77,4.31,26.35,A,II1
train,Train-2,78,3.50,47.17,A,II1
train,Train-2,79,5.09,-24.02,B,II1
train,Train-2,80,5.04,22.29,A,II1
train,Train-2,81,4.53,14.20,A,II1
train,Train-2,82,5.24,8.65,A,II1
train,Train-2,83,3.12,12.34,B,II1
train,Train-2,84,3.65,40.24,A,II1
train,Train-2,85,7.26,-32.04,A,II1
train,Train-2,86,4.83,-11.34,B,II1
train,Train-2,87,7.10,-44.17,B,II1
train,Train-2,88,4.87,-17.08,B,II1
train,Train-2,89,6.80,-21.11,A,II1
train,Train-2,90,5.17,15.80,A,II1
train,Train-2,91,5.18,7.92,A,II1
train,Train-2,92,4.81,-12.26,B,II1
train,Train-2,93,4.97,-8.68,B,II1
train,Train-2,94,5.36,-7.50,B,II1
train,Train-2,95,6.34,-33.36,B,II1
train,Train-2,96,5.89,2.87,A,II1
train,Train-2,97,6.41,-39.57,B,II1
train,Train-2,98,3.37,23.26,B,II1
train,Train-2,99,4.67,-8.30,B,II1
train,Train-2,100,3.50,46.04,A,II1
train,Train-3,101,3.89,10.68,B,II1
train,Train-3,102,5.60,-25.39,B,II1
train,Train-3,103,5.00,8.37,A,II1
train,Train-3,104,6.69,-49.50,B,II1
train,Train-3,105,4.86,4.12,A,II1
train,Train-3,106,5.16,-17.63,B,II1
train,Train-3,107,5.97,-6.17,A,II1
train,Train-3,108,4.29,-14.30,B,II1
train,Train-3,109,4.39,34.51,A,II1
train,Train-3,110,4.77,-12.51,B,II1
train,Train-3,111,5.07,2.22,A,II1
train,Train-3,112,4.26,-10.82,B,II1
train,Train-3,113,5.58,6.10,A,II1
train,Train-3,114,4.41,5.90,B,II1
train,Train-3,115,3.74,14.80,B,II1
train,Train-3,116,3.10,30.81,B,II1
train,Train-3,117,2.90,59.60,A,II1
train,Train-3,118,3.96,36.78,A,II1
train,Train-3,119,4.75,-10.37,B,II1
train,Train-3,120,3.52,12.40,B,II1
train,Train-3,121,4.79,22.56,A,II1
train,Train-3,122,6.24,-15.73,A,II1
train,Train-3,123,4.57,19.10,A,II1
train,Train-3,124,7.38,-28.35,A,II1
train,Train-3,125,4.88,-10.81,B,II1
train,Train-3,126,2.60,34.10,B,II1
train,Train-3,127,4.54,-7.41,B,II1
train,Train-3,128,5.49,2.69,A,II1
train,Train-3,129,6.03,-2.23,A,II1
train,Train-3,130,4.27,8.83,B,II1
train,Train-3,131,3.44,12.49,B,II1
train,Train-3,132,4.38,26.36,A,II1
train,Train-3,133,5.40,2.26,A,II1
train,Train-3,134,7.00,-18.14,A,II1
train,Train-3,135,2.88,23.13,B,II1
train,Train-3,136,6.18,-3.99,A,II1
train,Train-3,137,4.09,-4.79,B,II1
train,Train-3,138,6.13,-4.15,A,II1
train,Train-3,139,6.09,-5.12,A,II1
train,Train-3,140,3.07,14.85,B,II1
train,Train-3,141,6.14,-15.47,A,II1
train,Train-3,142,5.09,9.23,A,II1
train,Train-3,143,4.53,-6.33,B,II1
train,Train-3,144,4.61,-1.57,B,II1
train,Train-3,145,3.14,46.43,A,II1
train,Train-3,146,4.00,-2.41,B,II1
train,Train-3,147,5.91,8.92,A,II1
train,Train-3,148,3.42,52.58,A,II1
train,Train-3,149,6.21,-37.55,B,II1
train,Train-3,150,6.06,-22.01,B,II1
train,Train-4,151,5.02,16.33,A,II1
train,Train-4,152,6.20,-13.71,A,II1
train,Train-4,153,4.43,-8.45,B,II1
train,Train-4,154,5.26,8.32,A,II1
train,Train-4,155,4.25,11.44,B,II1
train,Train-4,156,5.32,-1.02,A,II1
train,Train-4,157,6.69,-16.25,A,II1
train,Train-4,158,4.46,5.95,B,II1
train,Train-4,159,5.31,-7.43,B,II1
train,Train-4,160,2.53,54.39,A,II1
train,Train-4,161,3.07,58.82,A,II1
train,Train-4,162,2.46,42.14,B,II1
train,Train-4,163,5.14,-30.17,B,II1
train,Train-4,164,4.54,18.27,A,II1
train,Train-4,165,4.75,26.77,A,II1
train,Train-4,166,5.38,-9.68,B,II1
train,Train-4,167,4.52,4.57,B,II1
train,Train-4,168,4.76,24.65,A,II1
train,Train-4,169,3.50,3.66,B,II1
train,Train-4,170,5.12,-21.88,B,II1
train,Train-4,171,5.50,-21.22,B,II1
train,Train-4,172,6.30,-6.15,A,II1
train,Train-4,173,5.08,12.68,A,II1
train,Train-4,174,3.56,19.56,B,II1
train,Train-4,175,5.36,8.84,A,II1
train,Train-4,176,6.13,-7.64,A,II1
train,Train-4,177,4.79,-5.33,B,II1
train,Train-4,178,4.26,5.07,B,II1
train,Train-4,179,5.65,-29.16,B,II1
train,Train-4,180,3.66,18.97,B,II1
train,Train-4,181,3.56,56.09,A,II1
train,Train-4,182,5.52,-9.34,A,II1
train,Train-4,183,5.40,4.40,A,II1
train,Train-4,184,2.48,37.85,B,II1
train,Train-4,185,3.62,13.51,B,II1
train,Train-4,186,6.80,-21.73,A,II1
train,Train-4,187,4.30,30.93,A,II1
train,Train-4,188,5.36,-27.00,B,II1
train,Train-4,189,4.72,28.44,A,II1
train,Train-4,190,5.07,-4.32,B,II1
train,Train-4,191,3.29,20.08,B,II1
train,Train-4,192,5.41,-1.94,A,II1
train,Train-4,193,5.63,8.37,A,II1
train,Train-4,194,4.50,20.98,A,II1
train,Train-4,195,5.36,3.13,A,II1
train,Train-4,196,3.86,5.68,B,II1
train,Train-4,197,5.34,-19.81,B,II1
train,Train-4,198,6.21,-30.92,B,II1
train,Train-4,199,4.41,-11.48,B,II1
train,Train-4,200,4.92,19.62,A,II1
train,Train-5,201,7.80,-34.66,A,II1
train,Train-5,202,3.91,7.31,B,II1
train,Train-5,203,4.78,-13.71,B,II1
train,Train-5,204,4.12,32.37,A,II1
train,Train-5,205,4.30,-2.03,B,II1
train,Train-5,206,3.72,45.48,A,II1
train,Train-5,207,2.50,29.56,B,II1
train,Train-5,208,4.38,-6.78,B,II1
train,Train-5,209,5.24,-25.05,B,II1
train,Train-5,210,5.43,4.48,A,II1
train,Train-5,211,4.93,17.25,A,II1
train,Train-5,212,4.15,-7.06,B,II1
train,Train-5,213,5.50,-5.77,A,II1
train,Train-5,214,5.90,-1.26,A,II1
train,Train-5,215,4.70,0.08,B,II1
train,Train-5,216,5.77,-30.72,B,II1
train,Train-5,217,5.77,1.97,A,II1
train,Train-5,218,5.99,-39.85,B,II1
train,Train-5,219,5.50,-1.52,A,II1
train,Train-5,220,5.60,16.52,A,II1
train,Train-5,221,5.01,18.97,A,II1
train,Train-5,222,4.35,-2.11,B,II1
train,Train-5,223,5.05,4.90,A,II1
train,Train-5,224,5.22,17.78,A,II1
train,Train-5,225,3.38,11.82,B,II1
train,Train-5,226,4.97,-6.82,B,II1
train,Train-5,227,5.45,-14.15,B,II1
train,Train-5,228,6.23,-24.62,B,II1
train,Train-5,229,6.37,-40.16,B,II1
train,Train-5,230,6.08,-38.06,B,II1
train,Train-5,231,5.46,3.90,A,II1
train,Train-5,232,6.98,-59.01,B,II1
train,Train-5,233,6.96,-32.50,A,II1
train,Train-5,234,6.43,-9.78,A,II1
train,Train-5,235,4.20,20.12,A,II1
train,Train-5,236,4.92,25.01,A,II1
train,Train-5,237,3.89,8.64,B,II1
train,Train-5,238,4.95,6.93,A,II1
train,Train-5,239,3.33,47.44,A,II1
train,Train-5,240,5.38,-14.38,B,II1
train,Train-5,241,4.71,29.13,A,II1
train,Train-5,242,4.80,-2.92,B,II1
train,Train-5,243,5.11,-12.52,B,II1
train,Train-5,244,5.26,-18.26,B,II1
train,Train-5,245,3.90,2.52,B,II1
train,Train-5,246,3.43,11.49,B,II1
train,Train-5,247,5.61,1.14,A,II1
train,Train-5,248,4.13,37.85,A,II1
train,Train-5,249,6.65,-24.75,A,II1
train,Train-5,250,6.56,-7.96,A,II1
train,Train-6,251,2.22,38.87,B,II1
train,Train-6,252,5.20,-15.57,B,II1
train,Train-6,253,5.10,-19.48,B,II1
train,Train-6,254,4.61,30.07,A,II1
train,Train-6,255,4.56,13.45,A,II1
train,Train-6,256,4.90,17.59,A,II1
train,Train-6,257,3.66,45.92,A,II1
train,Train-6,258,6.34,-19.80,A,II1
train,Train-6,259,3.21,29.59,B,II1
train,Train-6,260,7.97,-36.34,A,II1
train,Train-6,261,6.18,-13.10,A,II1
train,Train-6,262,5.27,-18.39,B,II1
train,Train-6,263,5.79,-26.82,B,II1
train,Train-6,264,5.26,-34.46,B,II1
train,Train-6,265,3.74,5.92,B,II1
train,Train-6,266,5.44,-19.92,B,II1
train,Train-6,267,6.95,-18.92,A,II1
train,Train-6,268,5.22,-0.28,A,II1
train,Train-6,269,3.68,37.57,A,II1
train,Train-6,270,3.17,24.02,B,II1
train,Train-6,271,6.37,-4.15,A,II1
train,Train-6,272,5.09,4.19,A,II1
train,Train-6,273,5.09,11.26,A,II1
train,Train-6,274,4.03,17.78,B,II1
train,Train-6,275,5.82,2.94,A,II1
train,Train-6,276,3.74,0.52,B,II1
train,Train-6,277,4.83,17.98,A,II1
train,Train-6,278,5.97,-34.09,B,II1
train,Train-6,279,3.91,20.32,B,II1
train,Train-6,280,5.74,-1.14,A,II1
train,Train-6,281,4.89,16.70,A,II1
train,Train-6,282,4.81,21.81,A,II1
train,Train-6,283,5.81,-13.65,A,II1
train,Train-6,284,5.08,-17.82,B,II1
train,Train-6,285,4.32,4.30,B,II1
train,Train-6,286,5.19,15.68,A,II1
train,Train-6,287,5.55,-21.35,B,II1
train,Train-6,288,3.12,27.81,B,II1
train,Train-6,289,5.35,20.60,A,II1
train,Train-6,290,4.77,-22.22,B,II1
train,Train-6,291,5.90,-32.71,B,II1
train,Train-6,292,5.65,-29.24,B,II1
train,Train-6,293,5.44,7.94,A,II1
train,Train-6,294,5.91,-8.74,A,II1
train,Train-6,295,4.91,-14.85,B,II1
train,Train-6,296,5.49,-17.21,B,II1
train,Train-6,297,3.81,7.28,B,II1
train,Train-6,298,4.64,21.28,A,II1
train,Train-6,299,4.40,-2.48,B,II1
train,Train-6,300,4.46,21.86,A,II1
train,Train-7,301,5.72,-22.05,B,II1
train,Train-7,302,4.74,24.73,A,II1
train,Train-7,303,4.42,23.77,A,II1
train,Train-7,304,4.96,-19.81,B,II1
train,Train-7,305,3.80,23.32,B,II1
train,Train-7,306,6.81,-7.70,A,II1
train,Train-7,307,6.13,1.74,A,II1
train,Train-7,308,5.91,-7.01,A,II1
train,Train-7,309,6.91,-22.32,A,II1
train,Train-7,310,3.37,10.38,B,II1
train,Train-7,311,6.86,-17.83,A,II1
train,Train-7,312,4.57,26.53,A,II1
train,Train-7,313,2.39,36.81,B,II1
train,Train-7,314,4.62,2.31,B,II1
train,Train-7,315,4.38,29.87,A,II1
train,Train-7,316,5.81,-2.46,A,II1
train,Train-7,317,5.05,4.24,A,II1
train,Train-7,318,3.37,21.79,B,II1
train,Train-7,319,6.87,-23.95,A,II1
train,Train-7,320,5.43,-17.75,B,II1
train,Train-7,321,6.01,-16.97,A,II1
train,Train-7,322,5.65,6.39,A,II1
train,Train-7,323,4.54,-0.72,B,II1
train,Train-7,324,4.04,-7.59,B,II1
train,Train-7,325,4.38,26.40,A,II1
train,Train-7,326,6.00,-2.57,A,II1
train,Train-7,327,7.35,-56.78,B,II1
train,Train-7,328,5.70,9.24,A,II1
train,Train-7,329,7.08,-27.15,A,II1
train,Train-7,330,4.83,-8.72,B,II1
train,Train-7,331,4.89,-4.79,B,II1
train,Train-7,332,5.46,-11.93,B,II1
train,Train-7,333,6.00,-44.60,B,II1
train,Train-7,334,5.29,-10.22,B,II1
train,Train-7,335,5.94,-30.27,B,II1
train,Train-7,336,3.89,-7.74,B,II1
train,Train-7,337,3.81,38.22,A,II1
train,Train-7,338,2.78,27.93,B,II1
train,Train-7,339,6.86,-11.54,A,II1
train,Train-7,340,5.29,-2.72,A,II1
train,Train-7,341,3.95,2.92,B,II1
train,Train-7,342,4.96,15.31,A,II1
train,Train-7,343,5.54,-5.11,A,II1
train,Train-7,344,4.52,25.05,A,II1
train,Train-7,345,4.28,-4.13,B,II1
train,Train-7,346,6.99,-57.95,B,II1
train,Train-7,347,4.30,3.55,B,II1
train,Train-7,348,3.74,2.01,B,II1
train,Train-7,349,4.36,28.54,A,II1
train,Train-7,350,5.00,-5.63,B,II1
train,Train-8,351,5.67,3.33,A,II1
train,Train-8,352,4.18,16.91,A,II1
train,Train-8,353,4.58,-13.45,B,II1
train,Train-8,354,3.36,53.70,A,II1
train,Train-8,355,5.67,-19.25,B,II1
train,Train-8,356,3.89,15.39,B,II1
train,Train-8,357,6.38,-7.60,A,II1
train,Train-8,358,5.86,-5.10,A,II1
train,Train-8,359,4.30,12.60,B,II1
train,Train-8,360,4.80,11.47,A,II1
train,Train-8,361,4.23,30.47,A,II1
train,Train-8,362,6.85,-43.57,B,II1
train,Train-8,363,5.02,19.64,A,II1
train,Train-8,364,3.84,11.99,B,II1
train,Train-8,365,4.16,34.71,A,II1
train,Train-8,366,5.46,-36.56,B,II1
train,Train-8,367,4.17,11.79,B,II1
train,Train-8,368,7.11,-29.53,A,II1
train,Train-8,369,6.76,-22.98,A,II1
train,Train-8,370,3.61,-2.00,B,II1
train,Train-8,371,5.28,-21.14,B,II1
train,Train-8,372,5.64,-18.58,B,II1
train,Train-8,373,5.73,-18.20,B,II1
train,Train-8,374,3.67,16.49,B,II1
train,Train-8,375,3.84,26.17,A,II1
train,Train-8,376,3.86,37.94,A,II1
train,Train-8,377,4.88,-12.82,B,II1
train,Train-8,378,6.84,-24.10,A,II1
train,Train-8,379,3.42,12.94,B,II1
train,Train-8,380,3.67,36.64,A,II1
train,Train-8,381,4.63,-12.10,B,II1
train,Train-8,382,3.95,11.11,B,II1
train,Train-8,383,5.94,3.27,A,II1
train,Train-8,384,5.36,-20.89,B,II1
train,Train-8,385,4.73,-4.73,B,II1
train,Train-8,386,4.99,11.07,A,II1
train,Train-8,387,3.16,12.28,B,II1
train,Train-8,388,4.77,11.89,A,II1
train,Train-8,389,4.60,10.84,A,II1
train,Train-8,390,4.02,32.38,A,II1
train,Train-8,391,3.17,14.67,B,II1
train,Train-8,392,6.95,-21.03,A,II1
train,Train-8,393,2.59,39.57,B,II1
train,Train-8,394,3.03,26.31,B,II1
train,Train-8,395,5.95,-44.37,B,II1
train,Train-8,396,4.75,11.88,A,II1
train,Train-8,397,4.94,13.09,A,II1
train,Train-8,398,6.48,-9.06,A,II1
train,Train-8,399,4.71,-13.83,B,II1
train,Train-8,400,4.54,21.47,A,II1
gen,Generalization,401,5.75,3.25,A,II1
gen,Generalization,402,6.26,-6.38,A,II1
gen,Generalization,403,6.29,-0.35,A,II1
gen,Generalization,404,5.95,-5.05,A,II1
gen,Generalization,405,4.05,29.63,A,II1
gen,Generalization,406,5.42,12.57,A,II1
gen,Generalization,407,4.04,20.84,A,II1
gen,Generalization,408,6.21,-9.97,A,II1
gen,Generalization,409,5.35,16.52,A,II1
gen,Generalization,410,7.30,-29.67,A,II1
gen,Generalization,411,4.75,20.78,A,II1
gen,Generalization,412,5.00,17.52,A,II1
gen,Generalization,413,5.64,-8.92,A,II1
gen,Generalization,414,6.24,5.96,A,II1
gen,Generalization,415,5.40,12.72,A,II1
gen,Generalization,416,5.17,18.08,A,II1
gen,Generalization,417,4.99,21.06,A,II1
gen,Generalization,418,5.63,3.68,A,II1
gen,Generalization,419,5.12,4.49,A,II1
gen,Generalization,420,6.42,-9.56,A,II1
gen,Generalization,421,5.19,-16.23,B,II1
gen,Generalization,422,4.97,-10.15,B,II1
gen,Generalization,423,3.25,26.43,B,II1
gen,Generalization,424,5.54,-16.90,B,II1
gen,Generalization,425,4.23,4.83,B,II1
gen,Generalization,426,5.42,-32.08,B,II1
gen,Generalization,427,5.69,-29.65,B,II1
gen,Generalization,428,3.87,-1.22,B,II1
gen,Generalization,429,3.06,24.29,B,II1
gen,Generalization,430,4.43,-6.20,B,II1
gen,Generalization,431,3.53,16.82,B,II1
gen,Generalization,432,2.54,32.09,B,II1
gen,Generalization,433,4.10,11.46,B,II1
gen,Generalization,434,3.30,15.11,B,II1
gen,Generalization,435,6.15,-52.65,B,II1
gen,Generalization,436,5.49,-27.75,B,II1
gen,Generalization,437,4.40,8.02,B,II1
gen,Generalization,438,4.75,-1.34,B,II1
gen,Generalization,439,4.48,7.01,B,II1
gen,Generalization,440,4.47,2.11,B,II1
